,noteId
2898,1406088052724883457
2899,1375266077341540353
2900,1367663988247519233
2901,1366177655960264705
2902,1390017454508761090
2903,1392618378557284354
2904,1369766561670651906
2905,1406245684467097602
2906,1401638406778675202
2907,1362615507829022722
2908,1367525022064074754
2909,1385343501177610242
2910,1371836007071506434
2911,1365030905597812739
2912,1398996961827643395
2913,1362779523335479299
2914,1369046449602846724
2915,1402058721136631812
2916,1394023086601691141
2917,1406765020403359749
2918,1370426527486205957
2919,1362420799043428358
2920,1407862311231053830
2921,1394702529661972480
2922,1355213370975268864
2923,1368878097290964992
2924,1355354000552570880
2925,1392286951068348416
2926,1379852056257835008
2927,1354885895623749632
2928,1375212596949889024
2929,1405974349476212736
2930,1379203262423969792
2931,1357748584771379208
2932,1364288134154969096
2933,1396794542834266113
2934,1368743389097832449
2935,1393654487177441281
2936,1356756040650534913
2937,1398413472942206977
2938,1371223510044061697
2939,1405326284310392833
2940,1386439119618859017
2941,1365768762159476738
2942,1357028572297375746
2943,1389719994775318530
2944,1388774046851084290
2945,1361541220414205954
2946,1406948433060114435
2947,1390347968218345475
2948,1354887442181074947
2949,1408848456530210819
2950,1355746159218864131
2951,1368580138129108996
2952,1354845431562448900
2953,1379095116690960388
2954,1360351347455873024
2955,1354887712981962752
2956,1356116225714237445
2957,1357532978021347333
2958,1355467955262402565
2959,1372244512555347974
2960,1357560996542492678
2961,1355954301135278082
2962,1359988142892331015
2963,1384251470703337472
2964,1362620904178556928
2965,1399782807388397568
2966,1392331139457589248
2967,1406984692906172416
2968,1400161149279117312
2969,1360013190055174144
2970,1400479522756075521
2971,1401456732103090177
2972,1399225471527657473
2973,1383219621721907201
2974,1404839331173343234
2975,1405376164571488258
2976,1384742583394398208
2977,1408240798965985280
2978,1409660559537053698
2979,1355596613201195008
2980,1395771616794013696
2981,1366850253433970691
2982,1377013118262419459
2983,1356082529258729473
2984,1367959824412024835
2985,1374505415027748866
2986,1404440948554100738
2987,1403177072017567746
2988,1375144835305283589
2989,1398657469262569472
2990,1387933260899131392
2991,1391337475969359872
2992,1391494238014251008
2993,1398415224684912641
2994,1403502263205863425
2995,1388135446820134914
2996,1389562774544687106
2997,1402766782537113604
2998,1409482875880316933
2999,1393557436955598854
3000,1372141285184770048
3001,1409876582768971776
3002,1376888594007199744
3003,1392263247768719360
3004,1398366963701780480
3005,1382822907336855552
3006,1379955058654187521
3007,1382773163830939649
3008,1375227529297006593
3009,1407871240694534145
3010,1393382919033458689
3011,1405479418101895170
3012,1397371153254060034
3013,1362865215533015040
3014,1378075503010045952
3015,1376201698914471938
3016,1385113115835109378
3017,1375512399839551488
3018,1392288430369935363
3019,1394470289392668675
3020,1374811667301720065
3021,1357005065349816321
3022,1371912351717396483
3023,1408418066568974339
3024,1370390958202818563
3025,1400727253919600644
3026,1405204464731033604
3027,1365459356217565186
3028,1387852556504797189
3029,1356422830859018243
3030,1391221879730475014
3031,1354987299558318080
3032,1355597798725574657
3033,1368668136560529417
3034,1384638264657649664
3035,1382005896901894144
3036,1382761827654770688
3037,1360768152045428736
3038,1357757660251103232
3039,1378155224997634049
3040,1386399101164527617
3041,1366409694609219585
3042,1366605151700590593
3043,1371274547106750465
3044,1389242800428883969
3045,1392291165446152193
3046,1383224148940365826
3047,1395416792328118273
3048,1359315892878778369
3049,1386360129113628675
3050,1389325114177560578
3051,1393268901077655554
3052,1384853320179720194
3053,1362532057910419458
3054,1395137569222893572
3055,1400161353084510212
3056,1385368236040986627
3057,1361897169968504835
3058,1371578110710194179
3059,1375282916662517764
3060,1358874843240800260
3061,1375115731470196740
3062,1377466195385851908
3063,1382815479870332932
3064,1380695606402818053
3065,1371600931947618309
3066,1386095093484953605
3067,1390029366558531589
3068,1376738921221005318
3069,1374421962726907910
3070,1384294930202304518
3071,1384172423415668742
3072,1384252898272419846
3073,1388129087672098823
3074,1384722152247599111
3075,1361823170496372744
3076,1364024553530269704
3077,1400461760545497097
3078,1370370808577597449
3079,1374421984159801354
3080,1383589663382773771
3081,1375458032331685888
